Reference, Quantity, Value, Footprint, Datasheet, Field4, MPN, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, Manufacturer, Status
B2 ,1,"ARDUINO_UNO_R3_SHIELD_ICSP","Sparkfun_boards:UNO_R3_SHIELD_ICSP","","XXX-00000","","","","","","","","",""
C1 C2 C3 C4 C7 C14 ,6,"12pF","Capacitor_SMD:C_1206_3216Metric","~"
C10 ,1,"1uF","Capacitor_SMD:C_1206_3216Metric","~"
C11 C12 ,2,"10uF","Capacitor_SMD:C_1206_3216Metric","~"
C5 C6 C8 C9 C13 C15 C16 ,7,".1uF","Capacitor_SMD:C_1206_3216Metric","~"
D5 ,1,"CVFD20065A","Package_TO_SOT_THT:TO-220-2_Vertical","https://www.wolfspeed.com/media/downloads/89/CVFD20065A.pdf"
F1 F2 ,2,"Fuse","Fuse:Fuseholder_Blade_Mini_Keystone_3568","~"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO7380","~"
H10 ,1,"AC_PWR","MountingHole:MountingHole_2.2mm_M2_Pad","~"
H11 H12 H13 ,3,"MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","~"
H6 ,1,"PWR_BATT1","MountingHole:MountingHole_2.2mm_M2_Pad","~"
J1 ,1,"GND","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
J10 ,1,"LEFT_ENC","Connectors:JST-4-PTH","","WIRE-13531","","","","","","","","",""
J11 ,1,"RIGHT_ENC","Connectors:JST-4-PTH","","WIRE-13531","","","","","","","","",""
J12 ,1,"Vin","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
J13 ,1,"Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
J14 ,1,"AM_Right","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
